sample,amplicon,lwcn,classification
OVCAR3,amplicon25,0,Linear
OVCAR3,amplicon26,0,Linear
OVCAR3,amplicon2,0,Linear
OVCAR3,amplicon3,0,Linear
OVCAR3,amplicon4,0,Linear
OVCAR3,amplicon5,0,Linear
OVCAR3,amplicon6,0,Linear
OVCAR3,amplicon7,0,Linear
OVCAR3,amplicon8,0,Linear
OVCAR3,amplicon9,0,Linear
OVCAR5,amplicon1,0,Linear
OVCAR5,amplicon2,0,Linear
OVCAR5,amplicon3,0,Linear
OVCAR5,amplicon4,0,Linear
OVCAR8,amplicon1,4927059.94651,Cyclic
OVCAR8,amplicon2,0,Linear
OVCAR8,amplicon3,289946.8514,Linear
OVCAR8,amplicon4,0,Linear
PC3,amplicon10,0,Linear
PC3,amplicon11,0,Linear
PC3,amplicon12,0,Linear
PC3,amplicon13,0,Linear
PC3,amplicon1,0,Complex-non-cyclic
PC3,amplicon2,0,No-FSCNA
PC3,amplicon3,0,Linear
PC3,amplicon4,25494016.8388,Cyclic
PC3,amplicon5,0,Linear
PC3,amplicon6,0,Linear
PC3,amplicon7,0,Linear
PC3,amplicon8,0,Linear
PC3,amplicon9,0,Linear
PC9,amplicon10,0,No-FSCNA
PC9,amplicon1,0,Linear
PC9,amplicon2,0,Linear
PC9,amplicon3,0,Linear
PC9,amplicon4,0,No-FSCNA
PC9,amplicon5,0,Linear
PC9,amplicon6,0,Linear
PC9,amplicon7,19417.8050301,Linear
PC9,amplicon8,0,Linear
PC9,amplicon9,0,Linear
RPMI8226,amplicon1,0,Linear
RPMI8226,amplicon2,0,Linear
RPMI8226,amplicon3,0,Linear
RPMI8226,amplicon4,0,Linear
RT112,amplicon1,0,Linear
RT112,amplicon2,18890398.3588,Complex-non-cyclic
SCLC21H,amplicon1,67843229.7911,Cyclic
SF268,amplicon1,105584602.86,Cyclic
SF268,amplicon2,0,Linear
SF268,amplicon3,0,No-FSCNA
SF268,amplicon4,0,No-FSCNA
SF295,amplicon1,6103547.22979,Cyclic
SF295,amplicon2,0,Linear
SJSA1,amplicon1,0,Linear
SJSA1,amplicon2,171171805.89,Cyclic
SJSA1,amplicon3,0,Linear
SJSA1,amplicon4,0,Linear
SKBR3,amplicon1,340320483.939,Cyclic
SKBR3,amplicon2,2852094.8088,Cyclic
SKBR3,amplicon3,0,Linear
SKBR3,amplicon4,0,Linear
SKMEL2,amplicon1,0,Linear
SKMEL2,amplicon2,0,Linear
SKMEL2,amplicon3,0,Linear
SKMEL2,amplicon4,0,Linear
SKMEL2,amplicon5,0,Linear
SKMEL2,amplicon6,0,Linear
SKMEL2,amplicon7,0,Linear
SKMEL2,amplicon8,0,Linear
SKMEL2,amplicon9,0,Linear
SKMEL28,amplicon1,878979.613208,Linear
SKMEL28,amplicon2,0,Linear
SKMEL28,amplicon3,0,Linear
SKMEL28,amplicon4,0,Complex-non-cyclic
SKOV3,amplicon1,4807143.66519,Cyclic
SKOV3,amplicon2,0,Linear
SKOV3,amplicon3,0,Linear
SKOV3,amplicon4,0,Linear
SKOV3,amplicon5,0,Linear
SKOV3,amplicon6,0,Linear
SKOV3,amplicon7,0,Linear
SKOV3,amplicon8,0,Linear
SN12C,amplicon1,3.48023601313e-06,Complex-non-cyclic
SN12C,amplicon2,0,Linear
SN12C,amplicon3,15944.063114,Linear
SNU16,amplicon1,329927743.186,Cyclic
SW620,amplicon1,1604134.92243,Complex-non-cyclic
SW620,amplicon2,16457211.5059,Cyclic
SW620,amplicon3,0,Linear
SW620,amplicon4,0,Linear
SW620,amplicon5,0,Complex-non-cyclic
SW620,amplicon6,300380.976956,No-FSCNA
THP1,amplicon1,40908730.3459,Cyclic
THP1,amplicon2,0,Linear
TR14,amplicon1,328389466.052,Cyclic
TR14,amplicon2,51723123.5839,Cyclic
TR14,amplicon3,99775417.7624,Cyclic
UACC1598,amplicon1,0,Complex-non-cyclic
UACC1598,amplicon2,190411971.159,Cyclic
UACC1598,amplicon3,0,Linear
UACC1598,amplicon4,0,No-FSCNA
UACC812,amplicon10,0,Linear
UACC812,amplicon1,215874329.051,Cyclic
UACC812,amplicon2,0,Linear
UACC812,amplicon3,0,Linear
UACC812,amplicon4,0,Linear
UACC812,amplicon5,6995444.38773,Complex-non-cyclic
UACC812,amplicon6,9439.07127264,Complex-non-cyclic
UACC812,amplicon7,0,Linear
UACC812,amplicon8,0,Linear
UACC812,amplicon9,0,Linear
5637_URINARY_TRACT,amplicon1,107725671.554,Cyclic
59M_OVARY,amplicon1,1201731.42921,Complex-non-cyclic
59M_OVARY,amplicon2,37002497.7576,Cyclic
59M_OVARY,amplicon3,0,Linear
8305C_THYROID,amplicon1,44084327.444,Cyclic
A101D_SKIN,amplicon1,0,Linear
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,amplicon1,209526.285042,Linear
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,amplicon2,0,Linear
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,amplicon3,666801.489557,Cyclic
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,amplicon4,0.00383718116403,No-FSCNA
A704_KIDNEY,amplicon1,194374.963902,No-FSCNA
ABC1_LUNG,amplicon1,1039548.42654,Cyclic
