sample,amplicon,lwcn,classification
6542c25fbba7c9250951ac56::SJMB038_D,amplicon1,0.691591011312,Cyclic
6542c25fbba7c9250951ac56::SJMB038_D,amplicon2,0,Linear
6542c25fbba7c9250951ac56::SJMB041_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB041_D,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB041_D,amplicon3,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB041_D,amplicon4,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB041_D,amplicon5,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB067_D,amplicon1,0.509339696411,Cyclic
6542c25fbba7c9250951ac56::SJMB067_D,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::a858fee2-cde7-4017-994e-ce55a5576c94,amplicon1,0.110170995048,Complex-non-cyclic
6542c25fbba7c9250951ac56::ae697d3a-71bc-407a-b355-e78d95bd8a69,amplicon1,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::ae697d3a-71bc-407a-b355-e78d95bd8a69,amplicon2,0.164941242188,Complex-non-cyclic
6542c25fbba7c9250951ac56::ae697d3a-71bc-407a-b355-e78d95bd8a69,amplicon3,0,No-FSCNA
6542c25fbba7c9250951ac56::ae697d3a-71bc-407a-b355-e78d95bd8a69,amplicon4,0,No-FSCNA
6542c25fbba7c9250951ac56::af8c3a70-771f-4fc8-8932-7777c1b707cb,amplicon1,0,Linear
6542c25fbba7c9250951ac56::afebfb8d-8065-4db3-976e-4cabdb96ef94,amplicon1,0.97934250936,Cyclic
6542c25fbba7c9250951ac56::c8df858b-631a-4322-88d8-9ebd5f6d2796,amplicon1,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::c8df858b-631a-4322-88d8-9ebd5f6d2796,amplicon2,0.980998661258,Cyclic
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon10,0,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon11,0,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon12,0.017856201419,Complex-non-cyclic
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon3,0.000929029355232,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon4,0.183759291295,Cyclic
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon5,0,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon6,0.0254847531885,Linear
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon7,0.0144861173641,Complex-non-cyclic
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon8,0.246768671417,No-FSCNA
6542c25fbba7c9250951ac56::ca17b585-18fc-4e8d-9dda-ad65f8de2eb9,amplicon9,0,No-FSCNA
6542c25fbba7c9250951ac56::case10,amplicon1,0,Linear
6542c25fbba7c9250951ac56::case11,amplicon1,0.885562613115,Cyclic
6542c25fbba7c9250951ac56::case11,amplicon3,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::case15,amplicon1,0,Linear
6542c25fbba7c9250951ac56::case17,amplicon1,0.000201575182928,Linear
6542c25fbba7c9250951ac56::case25,amplicon1,0,Linear
6542c25fbba7c9250951ac56::case25,amplicon2,0,Linear
6542c25fbba7c9250951ac56::case8b,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::case8b,amplicon2,0,Linear
6542c25fbba7c9250951ac56::d4e0ba80-8199-4836-9300-3bd061ab8fbf,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::d4e0ba80-8199-4836-9300-3bd061ab8fbf,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::d4e0ba80-8199-4836-9300-3bd061ab8fbf,amplicon3,0.000340139657127,Complex-non-cyclic
6542c25fbba7c9250951ac56::d5c61ad9-1ec5-4c06-a56c-7dfd58a1f67a,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::dd599690-14b6-4232-b58a-ef6ccabf692e,amplicon1,0.974668677912,Cyclic
6542c25fbba7c9250951ac56::e2772b64-8058-4b35-996a-4b639331581d,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::e2772b64-8058-4b35-996a-4b639331581d,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::e576fbd7-cacc-4fac-ab7f-37c68be92518,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::eaeb61ac-8a65-4770-b402-0639bb90cd2d,amplicon1,0.935137483227,Cyclic
6542c25fbba7c9250951ac56::eaeb61ac-8a65-4770-b402-0639bb90cd2d,amplicon2,0,Linear
6542c25fbba7c9250951ac56::eb8c28f8-1aea-4715-932f-a1a5b1588765,amplicon1,0.027126353126,Cyclic
6542c25fbba7c9250951ac56::eb8c28f8-1aea-4715-932f-a1a5b1588765,amplicon2,0.929522268158,Cyclic
6542c25fbba7c9250951ac56::ed7b2cd0-b04f-40c9-be5a-75ae8fbb05d5,amplicon1,0,Linear
6542c25fbba7c9250951ac56::ed7b2cd0-b04f-40c9-be5a-75ae8fbb05d5,amplicon2,0.987794197986,Cyclic
6542c25fbba7c9250951ac56::f15c6abc-c420-49a9-a69b-cdc486860e1f,amplicon1,0.0244408002007,Complex-non-cyclic
6542c25fbba7c9250951ac56::f15c6abc-c420-49a9-a69b-cdc486860e1f,amplicon2,0.883618683141,Cyclic
6542c25fbba7c9250951ac56::f15c6abc-c420-49a9-a69b-cdc486860e1f,amplicon3,0,No-FSCNA
6542c25fbba7c9250951ac56::f1b1c4ed-efe5-4be1-a966-39a4d8d1cd93,amplicon1,0.970870730703,Cyclic
6542c25fbba7c9250951ac56::f6bd606c-2f58-4d91-8101-f6bc8eaa4686,amplicon1,0.688549765681,No-FSCNA
6542c25fbba7c9250951ac56::f6bd606c-2f58-4d91-8101-f6bc8eaa4686,amplicon2,0.458838489017,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB101_AA,amplicon1,0.116246766038,Cyclic
6542d245bba7c9250951ba68::ICGC_MB101_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB108_AA,amplicon1,0.460799631568,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB108_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB110_AA,amplicon1,0.582614751529,Cyclic
6542d245bba7c9250951ba68::ICGC_MB110_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB111_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB114_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB115_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB119_AA,amplicon1,0.00440037132747,Linear
6542d245bba7c9250951ba68::ICGC_MB119_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB121_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB121_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB121_AA,amplicon3,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB121_AA,amplicon4,0,Linear
6542d245bba7c9250951ba68::ICGC_MB121_AA,amplicon5,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon1,0,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon3,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon4,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon5,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB125_AA,amplicon6,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB126_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB126_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB126_AA,amplicon3,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB126_AA,amplicon4,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB126_AA,amplicon5,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon1,0.0105858066334,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon2,0.00265201339982,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon3,0.132929992206,Invalid
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon4,0.128123409708,Invalid
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon5,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB127_AA,amplicon6,0.0100517391666,Invalid
6542d245bba7c9250951ba68::ICGC_MB129_AA,amplicon1,0,Invalid
6542d245bba7c9250951ba68::ICGC_MB129_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB12_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB12_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB131_AA,amplicon1,0.248548068398,Cyclic
6542d245bba7c9250951ba68::ICGC_MB131_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB143_AA,amplicon1,0.00783563024028,Linear
6542d245bba7c9250951ba68::ICGC_MB143_AA,amplicon2,0.265772039309,Invalid
6542d245bba7c9250951ba68::ICGC_MB144_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon3,0,Linear
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon4,0.515384842296,Cyclic
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon5,0.28659800515,Cyclic
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon6,0,Linear
6542d245bba7c9250951ba68::ICGC_MB145_AA,amplicon7,0.00961886216953,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB147_AA,amplicon1,0.317294470448,Invalid
6542d245bba7c9250951ba68::ICGC_MB151_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB151_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB151_AA,amplicon3,0,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB151_AA,amplicon4,0.000888788066616,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB152_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB153_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB15_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB160_AA,amplicon1,0.00122964471947,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB160_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB160_AA,amplicon3,0,Linear
6542d245bba7c9250951ba68::ICGC_MB161_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB161_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB163_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB165_AA,amplicon1,0.00235141225268,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB165_AA,amplicon2,0.550770626261,Cyclic
6542d245bba7c9250951ba68::ICGC_MB168_AA,amplicon1,0.2453500257,Linear
6542d245bba7c9250951ba68::ICGC_MB168_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB16_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB16_AA,amplicon2,0,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB16_AA,amplicon3,0,Linear
6542d245bba7c9250951ba68::ICGC_MB171_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB171_AA,amplicon2,0,Linear
6542d245bba7c9250951ba68::ICGC_MB171_AA,amplicon3,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB175_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB17_AA,amplicon1,0.766296055298,Invalid
6542d245bba7c9250951ba68::ICGC_MB17_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB180_AA,amplicon1,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB181_AA,amplicon1,0,Linear
6542d245bba7c9250951ba68::ICGC_MB183_AA,amplicon1,0.813689363849,Cyclic
6542d245bba7c9250951ba68::ICGC_MB183_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB184_AA,amplicon1,0,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB184_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB184_AA,amplicon3,0.10506228178,Cyclic
6542d245bba7c9250951ba68::ICGC_MB185_AA,amplicon1,0,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB186_AA,amplicon1,0.438895998873,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB186_AA,amplicon2,0,No-FSCNA
6542d245bba7c9250951ba68::ICGC_MB189_AA,amplicon1,0.0123432509606,Cyclic
6542d245bba7c9250951ba68::ICGC_MB190_AA,amplicon1,0.0344574913476,Complex-non-cyclic
6542d245bba7c9250951ba68::ICGC_MB190_AA,amplicon2,0.361469695691,Invalid
6542d245bba7c9250951ba68::ICGC_MB190_AA,amplicon3,0,Linear
